2.500000e-01	5.750000e-02
5.000000e-01	1.635000e-01
7.500000e-01	2.665000e-01
1	3.533000e-01
1.250000e+00	4.314000e-01
1.500000e+00	5.008000e-01
1.750000e+00	5.621000e-01
2	6.158000e-01
2.250000e+00	6.638000e-01
2.500000e+00	7.080000e-01
2.750000e+00	7.476000e-01
3	7.847000e-01
3.250000e+00	8.208000e-01
3.500000e+00	8.557000e-01
3.750000e+00	8.850000e-01
4	9.103000e-01
4.250000e+00	9.322000e-01
4.500000e+00	9.504000e-01
4.750000e+00	9.660000e-01
5	9.782000e-01
5.250000e+00	9.878800e-01
5.500000e+00	9.946700e-01
5.750000e+00	9.984600e-01
6	9.998400e-01
6.250000e+00	1.000018e+00
